class,age,expID,sessionID,filename,valid
boat,3,cdmrunv3,1535918346351.png,boat_sketch_age3_cdm_run_v31535918346351.png,1
boat,3,cdmrunv3,1535929897086.png,boat_sketch_age3_cdm_run_v31535929897086.png,1
boat,4,cdmrunv3,1526065527149.png,boat_sketch_age4_cdm_run_v31526065527149.png,1
boat,4,cdmrunv3,1526162026170.png,boat_sketch_age4_cdm_run_v31526162026170.png,1
boat,4,cdmrunv3,1526167651102.png,boat_sketch_age4_cdm_run_v31526167651102.png,1
boat,4,cdmrunv3,1526239192649.png,boat_sketch_age4_cdm_run_v31526239192649.png,1
boat,4,cdmrunv3,1526250064091.png,boat_sketch_age4_cdm_run_v31526250064091.png,1
boat,4,cdmrunv3,1526417227846.png,boat_sketch_age4_cdm_run_v31526417227846.png,1
boat,4,cdmrunv3,1526497714288.png,boat_sketch_age4_cdm_run_v31526497714288.png,1
boat,4,cdmrunv3,1526592878172.png,boat_sketch_age4_cdm_run_v31526592878172.png,1
boat,4,cdmrunv3,1526673903441.png,boat_sketch_age4_cdm_run_v31526673903441.png,1
boat,5,cdmrunv3,1532893428063.png,boat_sketch_age5_cdm_run_v31532893428063.png,1
boat,5,cdmrunv3,1532979795589.png,boat_sketch_age5_cdm_run_v31532979795589.png,1
boat,5,cdmrunv3,1532982445797.png,boat_sketch_age5_cdm_run_v31532982445797.png,1
boat,5,cdmrunv3,1534445290775.png,boat_sketch_age5_cdm_run_v31534445290775.png,1
boat,6,cdmrunv3,1534356652798.png,boat_sketch_age6_cdm_run_v31534356652798.png,1
boat,6,cdmrunv3,1534361666531.png,boat_sketch_age6_cdm_run_v31534361666531.png,1
boat,6,cdmrunv3,1534362900563.png,boat_sketch_age6_cdm_run_v31534362900563.png,1
boat,6,cdmrunv3,1534365370913.png,boat_sketch_age6_cdm_run_v31534365370913.png,1
boat,6,cdmrunv3,1536005036725.png,boat_sketch_age6_cdm_run_v31536005036725.png,1
boat,7,cdmrunv3,1532978289131.png,boat_sketch_age7_cdm_run_v31532978289131.png,1
boat,7,cdmrunv3,1533426055063.png,boat_sketch_age7_cdm_run_v31533426055063.png,1
boat,7,cdmrunv3,1534272694998.png,boat_sketch_age7_cdm_run_v31534272694998.png,1
boat,7,cdmrunv3,1534362509433.png,boat_sketch_age7_cdm_run_v31534362509433.png,1
